year,avg_temp_c,rain_mm,max_temp_c,max_temp_c_1
2000,18.33,0.0,24.0,13.39
2000,17.22,0.0,23.11,10.78
2000,19.72,0.0,26.72,11.89
2000,20.83,0.0,27.39,13.0
2000,16.94,0.0,22.28,10.22
2000,21.44,0.0,26.61,15.22
2000,15.89,0.0,20.72,11.0
2000,5.5,0.0,11.11,-1.5
2000,20.28,0.0,26.39,12.61
2000,18.11,0.0,24.0,11.28
2000,7.56,0.0,12.0,3.78
2000,22.06,0.0,28.22,13.61
2000,25.11,0.0,32.0,18.0
2000,19.94,0.0,27.0,12.28
2000,15.67,0.0,23.39,7.89
2000,24.44,0.0,31.5,16.89
2000,24.61,0.0,30.39,16.72
2000,8.56,0.0,16.61,-3.28
2000,-2.56,0.0,-2.0,-3.28
2000,4.22,0.0,9.61,-0.39
2000,7.17,0.0,11.28,3.61
2000,11.94,0.0,15.61,9.0
2000,22.72,0.0,29.0,14.28
2000,25.17,0.0,32.22,15.89
2000,4.72,0.0,10.0,-1.72
2000,1.67,0.0,6.39,-2.5
2000,16.39,0.0,22.5,8.28
2000,9.11,0.76,14.28,5.72
2000,18.67,0.0,24.22,11.78
2000,9.94,0.0,17.39,2.78
2000,-0.33,2.03,2.0,-3.28
2000,20.39,0.0,27.0,13.89
2000,13.5,0.0,20.0,8.28
2000,2.78,0.0,8.0,-1.22
2000,21.61,3.05,27.89,17.39
2000,19.56,0.0,27.0,11.89
2000,23.72,0.0,30.78,19.22
2000,7.17,0.0,14.0,1.0
2000,10.33,0.0,16.0,5.89
2000,15.11,0.0,21.0,8.0
2000,-6.89,0.0,-2.61,-11.11
2000,4.89,0.0,14.0,-3.61
2000,18.5,0.0,24.28,11.72
2000,8.0,0.0,14.61,2.0
2000,11.39,0.0,18.78,5.5
2000,26.72,0.0,33.0,18.89
2000,6.39,0.0,13.0,0.78
2000,-2.33,0.0,3.61,-4.0
2000,18.0,0.0,24.28,11.11
2000,20.06,0.0,25.22,12.61
2000,18.67,0.0,25.39,11.72
2000,17.67,0.0,24.39,11.0
2000,3.61,0.0,10.0,-1.5
2000,-2.39,0.0,0.0,-5.61
2000,-2.44,2.03,-1.89,-5.0
2000,20.61,0.0,26.39,15.61
2000,9.89,0.0,16.0,5.28
2000,18.94,0.0,24.39,13.0
2000,13.11,0.76,20.89,7.0
2000,13.78,0.0,20.0,6.78
2000,5.83,0.0,11.0,2.0
2000,-2.33,0.0,0.0,-4.28
2000,-1.78,0.0,0.0,-4.0
2000,20.44,0.0,25.28,13.0
2000,5.33,0.0,9.61,1.39
2000,18.89,0.0,22.78,15.72
2000,0.56,0.0,2.0,-1.22
2000,8.11,0.51,11.72,1.89
2000,7.83,0.51,10.39,3.78
2000,7.0,0.0,10.5,3.11
2000,-3.94,0.0,-2.0,-6.0
2000,-2.61,2.03,-0.72,-4.28
2000,13.83,0.0,17.5,10.89
2000,-0.94,0.0,0.78,-4.11
2000,-0.89,0.0,2.0,-2.22
2000,0.5,0.0,7.0,-3.72
2000,13.28,0.0,18.0,9.0
2000,21.39,0.0,28.0,15.39
2000,8.17,0.0,12.0,1.11
2000,-3.22,0.0,-2.78,-4.0
2000,0.72,0.0,2.5,-0.5
2000,-2.56,0.0,-2.0,-3.0
2000,14.22,0.0,21.0,8.0
2000,6.83,0.0,8.89,4.72
2000,1.56,0.0,6.28,-5.0
2000,0.06,0.0,3.28,-4.0
2000,19.78,,26.5,13.78
2000,18.39,1.02,25.22,12.72
2000,22.61,0.76,29.11,17.11
2000,13.0,2.03,17.0,9.89
2000,15.22,3.05,20.28,11.39
2000,19.33,8.89,24.11,15.0
2000,15.5,0.76,22.0,8.39
2000,22.28,5.08,29.0,18.0
2000,15.44,0.0,23.5,7.61
2000,21.56,0.0,29.11,14.11
2000,15.33,0.76,19.39,12.61
2000,10.83,3.05,16.0,6.39
2000,-0.11,1.52,0.72,-1.11
2000,3.28,0.51,7.78,-1.89
2000,14.72,0.0,18.61,9.89
2000,20.83,0.76,27.11,13.28
2000,10.11,3.05,16.28,4.78
2000,19.28,8.89,24.11,15.0
2000,6.78,0.76,11.28,4.0
2000,11.5,3.81,17.78,7.5
2000,14.67,1.02,19.5,11.61
2000,13.94,0.76,19.61,9.28
2000,11.28,7.11,14.11,5.78
2000,15.11,8.89,17.22,12.28
2000,23.11,1.02,28.39,18.0
2000,5.61,1.02,9.11,2.89
2000,5.67,2.03,9.0,0.72
2000,16.11,10.92,24.0,10.11
2000,17.5,0.76,25.11,12.0
2000,9.61,2.03,13.0,6.0
2000,2.22,11.94,4.0,0.28
2000,17.5,0.0,22.22,11.78
2000,4.17,2.03,7.28,1.78
2000,0.33,1.02,1.28,-2.0
2000,10.94,0.0,16.28,7.11
2000,21.44,0.76,27.72,17.61
2000,16.17,0.0,23.0,11.39
2000,20.61,0.0,26.61,14.22
2000,22.06,0.0,29.0,13.72
2000,9.72,0.0,16.0,3.11
2000,11.5,0.0,16.39,5.5
2000,3.39,0.0,6.22,0.22
2000,1.28,0.76,4.11,-1.72
2000,17.67,0.0,23.11,10.89
2000,29.72,0.0,37.0,21.5
2000,20.06,0.0,25.5,13.89
2000,19.56,0.0,25.11,14.89
2000,16.89,0.0,23.0,10.0
2000,16.39,0.0,21.61,11.0
2000,17.61,0.0,24.28,9.78
2000,22.61,0.0,28.39,15.22
2000,0.83,0.51,4.78,-1.61
2000,27.11,0.0,33.39,21.11
2000,25.83,0.0,32.5,20.5
2000,14.94,0.0,19.61,11.28
2000,8.0,0.0,15.61,0.5
2000,14.89,0.0,20.5,10.78
2000,7.33,0.0,14.0,2.11
2000,5.17,0.0,10.0,-0.89
2000,14.89,0.0,20.78,10.5
2000,13.72,0.0,20.22,8.28
2000,17.06,0.0,23.0,9.89
